directive_title,directive_type,brand_code,status
Clicks Offer Section Scheduler CTA,goal,MLY,To do
Clicks Offer Section Scheduler CTA,goal,FSP,Done
Clicks Offer Section Scheduler CTA,goal,GUY,To do
Clicks Offer Section Scheduler CTA,goal,JUK,To do
Clicks Offer Section Scheduler CTA,goal,MOJ,To do
Clicks Offer Section Scheduler CTA,goal,MRH,To do
Clicks Offer Section Scheduler CTA,goal,MRR,To do
Clicks Offer Section Scheduler CTA,goal,MRR-CA,N/A
Clicks Offer Section Scheduler CTA,goal,MRE,To do
Clicks Offer Section Scheduler CTA,goal,SHG,N/A
Clicks Offer Section Scheduler CTA,goal,WDG,N/A
Clicks Print Offer,goal,MRA,To do
Clicks Print Offer,goal,ASV,To do
Clicks Print Offer,goal,MDG,To do
Clicks Print Offer,goal,PDS,Done
Clicks Print Offer,goal,RBW,To do
Clicks Print Offer,goal,MLY,To do
Clicks Print Offer,goal,FSP,To do
Clicks Print Offer,goal,GUY,To do
Clicks Print Offer,goal,JUK,To do
Clicks Print Offer,goal,MOJ,To do
Clicks Print Offer,goal,MRH,To do
Clicks Print Offer,goal,MRR,To do
Clicks Print Offer,goal,MRR-CA,N/A
Clicks Print Offer,goal,MRE,To do
Clicks Print Offer,goal,SHG,N/A
Clicks Print Offer,goal,WDG,N/A
Clicks Claim Offer CTA,goal,MRA,Done
Clicks Claim Offer CTA,goal,ASV,To do
Clicks Claim Offer CTA,goal,MDG,To do
Clicks Claim Offer CTA,goal,PDS,To do
Clicks Claim Offer CTA,goal,RBW,Done
Clicks Claim Offer CTA,goal,MLY,To do
Clicks Claim Offer CTA,goal,FSP,To do
Clicks Claim Offer CTA,goal,GUY,To do
Clicks Claim Offer CTA,goal,JUK,To do
Clicks Claim Offer CTA,goal,MOJ,To do
Clicks Claim Offer CTA,goal,MRH,To do
Clicks Claim Offer CTA,goal,MRR,To do
Clicks Claim Offer CTA,goal,MRR-CA,N/A
Clicks Claim Offer CTA,goal,MRE,To do
Clicks Claim Offer CTA,goal,SHG,N/A
Clicks Claim Offer CTA,goal,WDG,N/A
Clicks Hero Reviews,goal,MRA,Done
Clicks Hero Reviews,goal,ASV,Done
Clicks Hero Reviews,goal,MDG,Done
Clicks Hero Reviews,goal,PDS,Done
Clicks Hero Reviews,goal,RBW,To do
Clicks Hero Reviews,goal,MLY,To do
Clicks Hero Reviews,goal,FSP,To do
Clicks Hero Reviews,goal,GUY,To do
Clicks Hero Reviews,goal,JUK,To do
Clicks Hero Reviews,goal,MOJ,To do
Clicks Hero Reviews,goal,MRH,To do
Clicks Hero Reviews,goal,MRR,To do
Clicks Hero Reviews,goal,MRR-CA,N/A
Clicks Hero Reviews,goal,MRE,To do
Clicks Hero Reviews,goal,SHG,N/A
Clicks Hero Reviews,goal,WDG,N/A
Clicks Testimonial CTA,goal,MRA,Done
Clicks Testimonial CTA,goal,ASV,Done
Clicks Testimonial CTA,goal,MDG,Done
